classes,features,classifier,estimator,classes,acc,f1
'MCI_AD',800,'GradientBoosting',700,'MCI_AD',0.762415686,0.716566908
'MCI_AD',1000,'GradientBoosting',1000,'MCI_AD',0.761223529,0.721139775
'MCI_AD',1000,'GradientBoosting',100,'MCI_AD',0.760007843,0.703001961
'MCI_AD',800,'GradientBoosting',100,'MCI_AD',0.759176471,0.710204858
'MCI_AD',1000,'GradientBoosting',50,'MCI_AD',0.757168627,0.694858732
'MCI_AD',600,'GradientBoosting',100,'MCI_AD',0.756094118,0.711856209
'MCI_AD',800,'GradientBoosting',300,'MCI_AD',0.755686275,0.711567534
'MCI_AD',800,'GradientBoosting',500,'MCI_AD',0.754047059,0.710074382
'MCI_AD',600,'GradientBoosting',50,'MCI_AD',0.750847059,0.697249635
'MCI_AD',800,'GradientBoosting',50,'MCI_AD',0.750086275,0.694293021
'MCI_AD',600,'GradientBoosting',300,'MCI_AD',0.746235294,0.711610096
'MCI_AD',600,'GradientBoosting',500,'MCI_AD',0.741003922,0.708910908
'MCI_AD',600,'GradientBoosting',1000,'MCI_AD',0.740988235,0.711436273
'MCI_AD',600,'GradientBoosting',700,'MCI_AD',0.738211765,0.707830388
